year,hospital,mergeid,control,location,teach,bedsize,region
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2009,6641,20096641,2,1,0,3,4
2010,4050,20104050,2,1,1,3,4
2010,4050,20104050,2,1,1,3,4
2010,4050,20104050,2,1,1,3,4
2010,4050,20104050,2,1,1,3,4
2010,5013,20105013,2,0,0,3,3
2010,6002,20106002,1,1,1,3,4
2010,6002,20106002,1,1,1,3,4
2010,6002,20106002,1,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2010,6060,20106060,2,1,1,3,4
2011,4033,20114033,0,1,1,3,4
2011,4033,20114033,0,1,1,3,4
2011,5108,20115108,0,1,1,2,3
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6624,20116624,0,1,1,2,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
2011,6641,20116641,0,1,1,3,4
1998,24041,199824041,2,0,0,3,3
1998,24042,199824042,2,1,0,3,3
1998,29051,199829051,0,1,0,3,2
1998,29051,199829051,0,1,0,3,2
1998,29051,199829051,0,1,0,3,2
1998,29051,199829051,0,1,0,3,2
1998,41025,199841025,0,1,1,2,4
1998,42025,199842025,0,1,1,1,1
1998,42116,199842116,0,1,1,3,1
1998,42268,199842268,0,1,1,3,1
1998,47033,199847033,0,1,1,3,3
1998,47033,199847033,0,1,1,3,3
1998,47033,199847033,0,1,1,3,3
1998,47033,199847033,0,1,1,3,3
1999,13024,199913024,0,1,1,3,3
1999,23007,199923007,#N/A,#N/A,#N/A,#N/A,#N/A
1999,24005,199924005,0,1,1,2,3
1999,24085,199924085,2,1,0,3,3
1999,24085,199924085,2,1,0,3,3
1999,24085,199924085,2,1,0,3,3
1999,24085,199924085,2,1,0,3,3
1999,24085,199924085,2,1,0,3,3
1999,29165,199929165,0,1,0,3,2
1999,29185,199929185,2,1,1,3,2
1999,29185,199929185,2,1,1,3,2
1999,29185,199929185,2,1,1,3,2
1999,29185,199929185,2,1,1,3,2
1999,29185,199929185,2,1,1,3,2
1999,34123,199934123,0,1,1,2,1
1999,36248,199936248,0,1,1,3,1
1999,42269,199942269,2,1,1,1,1
1999,42269,199942269,2,1,1,1,1
1999,42269,199942269,2,1,1,1,1
1999,42323,199942323,0,1,1,3,1
1999,42323,199942323,0,1,1,3,1
1999,42323,199942323,0,1,1,3,1
