"","procedures","meanDay","meanDayFromLVAD","n"
"313",3979,37.3333333333333,27.2222222222222,9
"314",3989,11,0,1
"315",3990,3.5,-11,2
"316",3991,2,-1,1
"317",3994,47.5,33,4
"318",3995,14.511013215859,5.7488986784141,227
"319",3998,17.6888888888889,5.24444444444444,45
"320",3999,24,4,2
"321",4011,9.66666666666667,-5.22222222222222,9
"322",4029,0,-1,1
"323",4059,56,40,1
"324",4131,18.5,-1.3,10
"325",4223,11.7647058823529,1.64705882352941,85
"326",4233,11.3333333333333,6.33333333333333,3
"327",4292,2,-3,1
"328",4311,49.3478260869565,40.9130434782609,23
"329",4319,78.5,70,2
"330",4341,30.5,21,4
"331",4389,85,74,1
"332",4413,11,0,1
"333",4432,29,15.3333333333333,3
"334",4439,64.5,54.5,2
"335",4443,49.5909090909091,37.1363636363636,22
"336",4444,70,36,1
"337",4461,76,66,2
"338",4466,87,65,1
"339",4469,107,104,1
"340",4503,12,5,2
"341",4511,85,74,1
"342",4513,28.3670886075949,14.6329113924051,79
"343",4515,102,88,1
"344",4516,25.7,12.5,20
"345",4523,30.2307692307692,15.9807692307692,52
"346",4524,33,11.625,16
"347",4525,33.9047619047619,13.7142857142857,21
"348",4542,22.3333333333333,7.57142857142857,21
"349",4543,58.9166666666667,19.8333333333333,12
"350",4562,43.6666666666667,41.7777777777778,9
"351",4563,31,28,1
"352",4571,21,8,1
"353",4572,13,13,1
"354",4573,25.6666666666667,7,3
"355",4582,35,26.5,2
"356",4591,41,26,1
"357",4601,0,-15,1
"358",4610,69,60,1
"359",4620,51.3333333333333,38.6666666666667,3
"360",4623,34.3333333333333,24,3
"361",4632,34.5,7.5,2
"362",4639,57.5,49.8125,16
"363",4641,101,99,2
"364",4651,41,26,1
"365",4673,0,0,1
"366",4675,85,74,1
"367",4685,13,10.6666666666667,3
"368",4719,56,55,1
"369",4823,20,-16,1
"370",4824,15,7.33333333333333,3
"371",4901,25,6,1
"372",4946,36,27,1
"373",5011,34.7777777777778,-0.555555555555556,9
"374",5012,22.25,2.91666666666667,12
"375",5013,7.78571428571429,-8.57142857142857,14
"376",5019,2,-10,1
"377",5029,7,0,1
"378",5059,19,-18,1
"379",5061,11,0,1
"380",5101,31.5714285714286,19.5714285714286,7
"381",5103,29.7142857142857,25,7
"382",5104,34,17,1
"383",5110,195,193,1
"384",5122,11.8,5.6,10
"385",5123,42.7142857142857,31.5714285714286,7
"386",5222,60,23,1
"387",5303,38,32,1
"388",5349,34,14.5,2
"389",5351,1,0,1
"390",5359,40.6,30.2,5
"391",5361,10,1.4,5
"392",5369,1,0,3
"393",5381,72.3333333333333,56,3
"394",5384,5.5,0.5,2
"395",5411,40.8181818181818,30.3636363636364,11
"396",5412,25.1875,14.0625,16
"397",5419,24,18,6
"398",5421,44,43,1
"399",5451,66,66,1
"400",5459,40.6,32.3333333333333,15
"401",5461,79,63,3
"402",5462,22,12.8571428571429,7
"403",5463,38.6666666666667,17,3
"404",5464,17,0.333333333333333,3
"405",5472,46.4285714285714,10.7142857142857,7
"406",5473,75,51,1
"407",5475,41,26,1
"408",5491,16.8571428571429,-7.78571428571429,14
"409",5492,11,2,1
"410",5493,28.6666666666667,18.6666666666667,3
"411",5498,36.5,28.5,2
"412",5503,11,-7,1
"413",5504,16,-2,1
"414",5523,20,-6,2
"415",5539,29,-6,1
"416",5569,71,67,3
"417",5633,22,21,1
"418",5691,2,-1,1
"419",5717,1,-7,1
"420",5732,18.1666666666667,7.66666666666667,6
"421",5749,34.5,28,2
"422",5794,5.25,1.5,4
"423",5822,4,2,1
"424",6011,8,-2.5,4
"425",6012,8,-3,1
"426",6021,22,21,1
"427",6212,24,2,1
"428",6711,56,40,1
"429",6732,63,47,1
"430",6739,56,40,1
"431",6816,36.5,16,2
"432",6909,34,24,1
"433",7711,5,4,1
"434",7731,14.1428571428571,6.71428571428571,7
"435",7749,33,23,1
"436",7761,25.7619047619048,19.4761904761905,21
"437",7769,30.5,24.5,2
"438",7781,49.5,47,2
"439",7811,1,1,1
"440",7841,16.8823529411765,4.35294117647059,17
"441",7851,26,22.5,2
"442",7861,26,23,2
"443",7939,26,7,1
"444",7971,16,9,1
"445",8037,5,-3,1
"446",8087,48,17,1
"447",8191,21.5714285714286,0,14
"448",8192,26.5,-3.75,4
"449",8212,2,0,1
"450",8302,0,0,1
"451",8309,6.69230769230769,1.15384615384615,13
"452",8314,5.55555555555556,1.5,18
"453",8321,9,4.66666666666667,3
"454",8339,15.8333333333333,-19.1666666666667,6
"455",8343,128,110.5,2
"456",8344,0,0,1
"457",8345,17.6666666666667,13.4166666666667,12
"458",8349,29,-25,1
"459",8365,17,2.5,2
"460",8382,39.3125,32.3125,16
"461",8385,47,42,1
"462",8389,29,7,1
"463",8394,22,-13,1
"464",8395,31.5,23,2
"465",8401,79,73,2
"466",8402,43,40,1
"467",8411,81,74,2
"468",8412,91,45,1
"469",8415,27,19.625,8
"470",8416,22,16,2
"471",8417,4.75,3.25,4
"472",8418,13,13,1
"473",8494,1.5,0,2
"474",8511,5,3,1
"475",8512,16,-13,1
"476",8601,1,-23.5,2
"477",8604,54.0416666666667,31.9166666666667,24
"478",8605,40.4090909090909,8.22727272727273,22
"479",8607,26.9090909090909,17.1818181818182,11
"480",8609,32.2,19.4,5
"481",8611,17.5,0,4
"482",8622,59.462962962963,38.2037037037037,54
"483",8623,9,-52,1
"484",8627,41.6666666666667,27.3333333333333,3
"485",8628,20.5142857142857,5.34285714285714,35
"486",8659,20.0909090909091,12.5,22
"487",8665,7.66666666666667,0,6
"488",8669,47.75,30.5,4
"489",8670,66,66,1
"490",8671,15,11,1
"491",8672,43,40,1
"492",8674,37.0666666666667,23.9333333333333,15
"493",8675,92,85,1
"494",8689,26,0,1
"495",8703,14.3076923076923,7.69230769230769,13
"496",8712,13,-9,1
"497",8741,12.9642857142857,3.39285714285714,28
"498",8749,16.3333333333333,5,3
"499",8753,10.6666666666667,-3.33333333333333,3
"500",8762,43,41,1
"501",8769,35,20,1
"502",8774,34,16,1
"503",8775,17,-1,1
"504",8776,120,83,1
"505",8801,15.1923076923077,3.88461538461538,26
"506",8838,13.5,2.5,2
"507",8841,21,3.125,8
"508",8842,6.19565217391304,-3.17391304347826,46
"509",8843,13.1666666666667,3.58333333333333,12
"510",8844,9.55555555555556,3.22222222222222,9
"511",8845,5.66666666666667,-3,3
"512",8847,16.65,5.45,20
"513",8848,9.41935483870968,-4.12903225806452,31
"514",8849,8.8,0.6,5
"515",8850,0,-2,1
"516",8851,17.625,7.5,8
"517",8852,4.5,-6.55555555555556,18
"518",8853,1.9375,-4.8046875,128
"519",8854,5.41176470588235,-9.58823529411765,17
"520",8855,3.3,-3.3,10
"521",8856,3.85665529010239,-5.11262798634812,293
"522",8857,5.52941176470588,-4.97058823529412,34
"523",8861,0.5,-2,2
"524",8863,24.6,10.6,5
"525",8864,6.66666666666667,-11,3
"526",8865,35,34.5,2
"527",8866,3,-18,1
"528",8867,19.1428571428571,6.28571428571429,7
"529",8871,4.8,-0.1,10
"530",8872,9.65247018739353,0.778534923339012,587
"531",8873,4,1.5,2
"532",8874,41,20,1
"533",8875,15.75,12,4
"534",8876,15.7777777777778,5.55555555555556,9
"535",8877,13.4444444444444,4.61111111111111,18
"536",8891,11,-5.5,2
"537",8892,8,-13.5,4
"538",8898,4,-39,1
"539",8914,20,16.6,5
"540",8919,14,2,3
"541",8937,4.5,-7,2
"542",8944,4.33333333333333,-3,3
"543",8945,8.1,1.1,10
"544",8949,8.88111888111888,-0.013986013986014,143
"545",8950,44,41,1
"546",8952,0,-1.33333333333333,3
"547",8954,0,-1,1
"548",8958,10,8,1
"549",8959,9.70212765957447,-0.148936170212766,47
"550",8960,41.5,30.5,2
