,procedures,meanDay,meanDayFromLVAD,n
133,3452,70,57.6,5
203,3731,22.2,13.4,5
229,3776,20.8,8.4,5
259,3844,1.8,0,5
372,5359,40.6,30.2,5
373,5361,10,1.4,5
461,8609,32.2,19.4,5
494,8849,8.8,0.6,5
504,8863,24.6,10.6,5
519,8914,20,16.6,5
608,9923,25.4,1.6,5
49,331,11.5,-1.25,4
54,346,41.25,34.75,4
70,598,19.5,4.25,4
101,3174,49.75,39.75,4
129,3422,10.5,-6.5,4
159,3551,7.25,1.5,4
167,3570,14.75,0,4
175,3599,25.25,1,4
189,3631,3.5,-1,4
212,3752,8.75,-4.5,4
224,3771,13.5,2.5,4
237,3789,69.25,32,4
286,3952,28.5,26.75,4
305,3994,47.5,33,4
318,4341,30.5,21,4
403,5794,5.25,1.5,4
405,6011,8,-2.5,4
429,8192,26.5,-3.75,4
452,8417,4.75,3.25,4
462,8611,17.5,0,4
469,8669,47.75,30.5,4
513,8875,15.75,12,4
545,9215,6.25,-7.75,4
569,9608,26.25,21.25,4
588,9789,21,-3,4
615,9963,2.5,-0.5,4
616,9969,3.5,1,4
619,9974,9.5,5.5,4
4,14,7.666666667,4.333333333,3
13,43,14,10.66666667,3
17,48,0.333333333,-3,3
20,52,6.333333333,-16,3
42,232,25.33333333,9.333333333,3
66,544,91.33333333,74.66666667,3
85,2102,15.66666667,-4.666666667,3
86,2103,47,25.33333333,3
87,2109,25,9,3
88,2121,8.666666667,-12.66666667,3
114,3326,11.33333333,-7.333333333,3
136,3472,6.333333333,3,3
161,3553,2.666666667,0,3
169,3572,3.666666667,0,3
187,3616,2,0.666666667,3
190,3691,0,0,3
195,3720,1.666666667,-12.33333333,3
215,3755,11.66666667,7.666666667,3
233,3781,12.66666667,-1.333333333,3
258,3826,10.33333333,0,3
274,3898,9,3,3
278,3927,82,66.66666667,3
289,3958,1.333333333,1.333333333,3
296,3966,10.33333333,0,3
321,4432,29,15.33333333,3
341,4573,25.66666667,7,3
344,4620,51.33333333,38.66666667,3
345,4623,34.33333333,24,3
351,4685,13,10.66666667,3
354,4824,15,7.333333333,3
374,5369,1,0,3
383,5461,79,63,3
385,5463,38.66666667,17,3
386,5464,17,0.333333333,3
397,5569,71,67,3
465,8627,41.66666667,27.33333333,3
479,8749,16.33333333,5,3
480,8753,10.66666667,-3.333333333,3
491,8845,5.666666667,-3,3
505,8864,6.666666667,-11,3
517,8892,10,-16.66666667,3
520,8919,14,2,3
522,8944,4.333333333,-3,3
526,8952,0,-1.333333333,3
580,9723,18.33333333,9,3
582,9739,7.666666667,5.666666667,3
603,9917,5,-11.33333333,3
604,9918,6.333333333,0,3
6,22,24.5,17,2
18,50,21.5,9.5,2
21,53,6.5,-12.5,2
26,61,24,16,2
31,67,13,-3,2
38,131,18.5,18,2
44,245,29,20,2
52,343,31,21.5,2
53,344,16.5,15,2
60,403,16,10,2
62,458,32.5,31,2
68,570,13,12,2
72,611,14,-20,2
77,741,0,-0.5,2
82,1733,69,60,2
95,2911,17.5,0,2
103,3199,78,33,2
118,3339,43.5,26.5,2
120,3349,15.5,0.5,2
130,3424,19.5,13,2
131,3425,69,50.5,2
140,3484,60.5,15.5,2
152,3525,2,1,2
153,3526,2,1,2
173,3595,4,0,2
177,3604,0,-5.5,2
214,3754,4.5,-2.5,2
234,3782,58.5,56.5,2
242,3796,28.5,20.5,2
243,3797,29,12.5,2
248,3804,3,0,2
255,3814,6,0,2
256,3816,16,1,2
257,3818,18.5,0,2
271,3894,4.5,-6.5,2
277,3925,2,0.5,2
280,3930,72,52,2
303,3990,3.5,-11,2
308,3999,24,4,2
314,4233,6,-1,2
317,4319,78.5,70,2
322,4439,64.5,54.5,2
325,4461,76,66,2
327,4503,12,5,2
342,4582,35,26.5,2
346,4632,34.5,7.5,2
348,4641,101,99,2
370,5349,34,14.5,2
375,5381,18.5,17.5,2
376,5384,5.5,0.5,2
395,5523,20,-6,2
402,5749,34.5,28,2
412,6816,36.5,16,2
418,7769,30.5,24.5,2
419,7781,49.5,47,2
422,7851,26,22.5,2
423,7861,26,23,2
434,8321,10,7,2
436,8343,128,110.5,2
440,8365,17,2.5,2
445,8395,31.5,23,2
446,8401,79,73,2
448,8411,81,74,2
451,8416,22,16,2
454,8494,1.5,0,2
457,8601,1,-23.5,2
486,8838,13.5,2.5,2
503,8861,0.5,-2,2
506,8865,35,34.5,2
511,8873,4,1.5,2
521,8937,4.5,-7,2
530,8960,41.5,30.5,2
540,9146,11,-7,2
543,9205,2,-7.5,2
547,9219,25.5,22,2
555,9359,11.5,7,2
573,9654,31.5,20,2
601,9914,1,1,2
610,9952,5.5,3.5,2
611,9955,7,5,2
622,9979,5.5,2.5,2
1,11,9,-4,1
8,28,9,-13,1
9,31,36,35,1
24,57,14,0,1
25,59,4,2,1
27,62,32,21,1
28,64,17,0,1
29,65,32,21,1
32,68,9,0,1
34,94,7,0,1
35,110,36,32,1
36,118,28,27,1
37,125,23,1,1
39,139,36,32,1
40,159,9,9,1
41,212,28,27,1
43,239,9,3,1
45,310,22,16,1
47,315,44,11,1
48,330,15,10,1
50,336,0,0,1
55,362,2,0,1
61,409,60,56,1
63,504,19,-18,1
64,529,14,-46,1
67,560,16,-2,1
69,586,11,0,1
71,602,1,1,1
73,613,16,8,1
75,689,0,-9,1
76,697,1,0,1
79,864,174,166,1
81,1649,12,12,1
83,1735,87,78,1
89,2199,42,25,1
92,2373,27,-6,1
93,2551,23,20,1
94,2761,4,0,1
96,3009,107,74,1
99,3145,3,-4,1
100,3169,21,-6,1
102,3198,1,-6,1
104,3201,68,57,1
105,3209,36,23,1
106,3220,80,-4,1
107,3229,10,0,1
108,3230,12,-14,1
109,3249,0,-1,1
117,3329,1,-1,1
121,3393,73,47,1
134,3459,26,3,1
135,3471,23,15,1
138,3481,57,39,1
139,3482,38,1,1
142,3492,31,22,1
144,3502,1,0,1
157,3535,0,0,1
158,3539,1,0,1
162,3554,4,0,1
163,3555,8,-5,1
166,3563,12,0,1
170,3573,1,0,1
171,3591,16,0,1
174,3596,-1,-1,1
213,3753,36,26,1
216,3760,1,-30,1
226,3773,101,99,1
236,3787,1,0,1
238,3790,3,0,1
241,3795,13,8,1
246,3802,44,27,1
250,3806,2,-52,1
252,3809,18,0,1
254,3813,10,4,1
261,3848,1,1,1
262,3849,3,0,1
263,3864,21,0,1
264,3865,207,186,1
265,3884,0,0,1
267,3886,2,1,1
268,3888,97,34,1
275,3899,1,-10,1
276,3922,1,-2,1
279,3929,0,0,1
297,3972,18,17,1
298,3973,3,0,1
299,3974,32,21,1
300,3975,29,18,1
302,3989,11,0,1
304,3991,2,-1,1
310,4029,0,-1,1
311,4059,56,40,1
315,4292,2,-3,1
319,4389,85,74,1
320,4413,11,0,1
324,4444,70,36,1
326,4469,107,104,1
328,4511,85,74,1
330,4515,102,88,1
338,4563,31,28,1
339,4571,21,8,1
340,4572,13,13,1
343,4610,69,60,1
349,4673,0,0,1
350,4675,85,74,1
352,4719,56,55,1
353,4823,20,-16,1
355,4901,25,6,1
356,4946,36,27,1
360,5019,2,-10,1
361,5029,7,0,1
362,5059,19,-18,1
365,5104,34,17,1
366,5110,195,193,1
369,5303,38,32,1
371,5351,1,0,1
380,5421,44,43,1
381,5451,66,66,1
388,5473,75,51,1
390,5492,11,2,1
391,5493,66,56,1
392,5498,67,57,1
393,5503,11,-7,1
394,5504,16,-2,1
396,5539,29,-6,1
398,5633,22,21,1
399,5691,2,-1,1
400,5717,1,-7,1
404,5822,4,2,1
406,6012,8,-3,1
407,6021,22,21,1
408,6212,24,2,1
409,6711,56,40,1
410,6732,63,47,1
411,6739,56,40,1
413,6909,34,24,1
414,7711,5,4,1
416,7749,33,23,1
420,7811,1,1,1
424,7939,26,7,1
425,7971,16,9,1
426,8037,5,-3,1
427,8087,48,17,1
430,8212,2,0,1
431,8302,0,0,1
437,8344,0,0,1
439,8349,29,-25,1
442,8385,47,42,1
443,8389,29,7,1
444,8394,22,-13,1
447,8402,43,40,1
449,8412,91,45,1
453,8418,13,13,1
455,8511,5,3,1
