hospital,control,location,teach,bedsize,region,teachloc
6410,2,1,0,2,4,2
6412,2,1,0,2,4,2
6413,2,0,0,1,4,1
6414,2,1,0,1,4,2
6417,3,1,0,1,4,2
6418,0,1,1,2,4,3
6420,3,1,0,2,4,2
6421,3,1,0,2,4,2
6422,2,1,1,1,4,3
6423,3,1,0,2,4,2
6424,2,1,0,1,4,2
6427,2,1,0,2,4,2
6428,2,1,0,3,4,2
6429,2,1,0,3,4,2
6433,3,1,0,1,4,2
6434,3,,,1,4,2
6435,3,,,1,4,2
6437,1,0,0,1,4,1
6438,2,1,0,2,4,2
6439,2,1,0,3,4,2
6440,1,0,0,1,4,1
6441,2,1,0,2,4,2
6443,2,1,0,2,4,2
6445,3,,,1,4,2
6447,2,1,0,2,4,2
6448,2,1,1,1,4,3
6449,3,1,0,3,4,2
6451,2,1,0,1,4,2
6452,2,1,0,2,4,2
6454,0,1,1,1,4,3
6456,2,1,0,2,4,2
6457,1,1,0,1,4,2
6459,0,1,1,1,4,3
6460,2,1,0,1,4,2
6461,2,1,0,3,4,2
6463,3,1,0,2,4,2
6464,2,,,2,4,2
6465,2,1,0,2,4,2
6466,1,1,0,3,4,2
6467,2,,,1,4,3
6469,0,1,1,1,4,3
6470,2,1,0,1,4,2
6471,2,,,1,4,2
6472,3,1,0,1,4,2
6475,2,1,0,1,4,2
6476,3,,,2,4,2
6477,2,0,0,3,4,1
6478,3,1,0,2,4,2
6482,2,1,0,2,4,2
6483,0,1,1,1,4,3
6484,2,1,0,1,4,2
6485,0,1,1,2,4,3
6486,1,1,0,1,4,2
6490,2,1,1,2,4,3
6491,0,1,1,2,4,3
6492,3,1,0,1,4,2
6494,3,1,1,2,4,3
6496,3,1,0,3,4,2
6497,2,,,2,4,2
6500,3,,,2,4,2
6501,1,1,0,3,4,2
6502,0,1,1,1,4,3
6505,1,,,1,4,1
6510,3,1,0,3,4,2
6511,2,1,0,2,4,2
6514,2,1,0,1,4,2
6515,0,1,1,3,4,3
6518,2,1,0,1,4,2
6519,1,1,1,1,4,3
6521,2,,,3,4,2
6523,0,1,1,1,4,3
6524,2,1,0,2,4,2
6525,0,1,1,2,4,3
6526,2,1,0,3,4,2
6529,1,1,0,1,4,2
6530,3,1,0,1,4,2
6531,2,1,0,1,4,2
6532,0,1,1,3,4,3
6533,2,1,0,3,4,2
6534,2,1,0,2,4,2
6536,2,1,0,1,4,2
6537,3,1,0,1,4,2
6538,3,,,3,4,2
6540,3,1,0,2,4,2
6542,3,1,0,1,4,2
6544,3,1,0,2,4,2
6547,0,1,1,3,4,3
6548,2,1,0,3,4,2
6550,2,1,0,2,4,2
6551,2,1,0,3,4,2
6554,2,1,0,1,4,2
6555,0,1,1,1,4,3
6558,3,0,0,1,4,1
6559,3,1,0,1,4,2
6560,2,1,0,1,4,2
6563,2,0,0,1,4,1
6564,2,1,0,3,4,2
6565,2,1,0,2,4,2
6567,2,1,0,3,4,2
6568,2,1,0,1,4,2
6569,3,1,0,1,4,2
6571,1,1,0,1,4,2
6573,2,0,0,1,4,1
6574,1,1,0,1,4,2
6575,1,1,0,1,4,2
6576,2,1,0,3,4,2
6577,3,1,0,2,4,2
6579,1,1,0,3,4,2
6580,3,1,0,2,4,2
6582,1,0,0,1,4,1
6583,2,1,0,2,4,2
6584,2,1,0,2,4,2
6585,1,1,0,3,4,2
6586,3,1,0,2,4,2
6587,3,1,0,1,4,2
6588,3,1,0,2,4,2
6591,2,1,0,1,4,2
6592,3,1,0,2,4,2
6593,3,1,0,1,4,2
6594,1,1,0,1,4,2
6595,0,1,1,2,4,3
6596,3,1,0,1,4,2
6598,3,,,3,4,2
6599,1,1,0,2,4,2
6600,3,,,2,4,2
6601,2,1,0,1,4,2
6602,0,1,1,3,4,3
6603,0,1,1,1,4,3
6604,2,1,1,1,4,3
6605,3,,,1,4,2
6606,3,1,0,2,4,2
6609,1,0,0,2,4,1
6613,2,1,0,2,4,2
6616,1,1,0,2,4,2
6617,3,1,0,2,4,2
6622,3,1,0,1,4,2
6623,2,1,0,3,4,2
6624,0,1,1,2,4,3
6625,2,1,0,1,4,2
6626,2,1,1,3,4,3
6628,3,1,0,3,4,2
6629,2,1,0,2,4,2
6630,0,1,1,3,4,3
6632,2,1,1,3,4,3
6633,3,1,0,1,4,2
6634,2,1,0,2,4,2
6636,2,1,0,3,4,2
6637,3,1,0,1,4,2
6638,3,1,0,2,4,2
6640,3,1,0,2,4,2
6641,2,1,1,1,4,3
6643,2,1,0,1,4,2
6644,3,1,0,1,4,2
6647,3,1,1,1,4,3
6648,3,1,0,2,4,2
6649,3,1,0,2,4,2
6650,3,1,0,3,4,2
6651,3,1,0,1,4,2
6653,3,1,0,1,4,2
6655,3,1,0,1,4,2
6656,4,0,0,1,4,1
6657,2,1,0,1,4,2
6658,3,1,0,2,4,2
6660,2,1,0,3,4,2
6661,2,1,0,3,4,2
6662,2,1,0,3,4,2
6663,2,1,0,3,4,2
6664,2,1,0,1,4,2
6665,0,1,1,1,4,3
6666,2,1,0,2,4,2
6667,4,0,0,3,4,1
6669,2,1,0,3,4,2
6671,3,1,0,3,4,2
6672,2,1,0,3,4,2
6675,2,1,0,1,4,2
6677,3,1,0,1,4,2
6678,3,1,0,1,4,2
6680,0,1,1,1,4,3
6682,2,1,0,2,4,2
6685,3,1,0,1,4,2
8002,2,,,2,4,2
8003,0,1,1,2,4,3
8004,2,1,0,3,4,2
8007,2,1,0,1,4,2
8009,1,0,0,1,4,1
8010,1,0,0,1,4,1
8012,2,1,0,1,4,2
8014,0,1,1,3,4,3
8016,1,0,0,1,4,1
8017,4,0,0,3,4,1
8018,2,1,0,2,4,2
8019,2,1,0,3,4,2
8021,1,1,0,3,4,2
8022,2,1,0,2,4,2
8023,1,0,0,1,4,1
8025,1,0,0,1,4,1
8027,1,0,0,1,4,1
8029,2,1,0,3,4,2
8030,0,1,1,3,4,3
8031,1,0,0,1,4,1
8033,1,0,0,1,4,1
8035,2,,,1,4,1
8037,2,0,0,1,4,1
8038,4,0,0,3,4,1
8039,1,0,0,1,4,1
8040,3,1,0,2,4,2
8041,2,,,1,4,1
8042,0,1,1,3,4,3
8043,4,0,0,1,4,1
8044,4,0,0,3,4,1
8045,3,0,0,1,4,1
8047,2,,,3,4,2
8048,1,0,0,1,4,1
8050,2,,,1,4,1
8053,1,0,0,2,4,1
8057,3,1,1,1,4,3
8059,0,1,1,2,4,3
8062,2,0,0,2,4,1
8063,2,0,0,2,4,1
8065,2,,,1,4,3
8066,2,1,1,1,4,3
8067,1,1,0,3,4,2
8068,2,1,0,3,4,2
8069,2,1,0,1,4,2
8071,1,,,1,4,1
8072,1,0,0,1,4,1
8074,2,1,1,2,4,3
8075,1,0,0,1,4,1
8076,2,,,2,4,2
8077,1,0,0,1,4,1
8078,2,0,0,1,4,1
8080,1,0,0,1,4,1
8084,1,0,0,1,4,1
8085,0,1,1,1,4,3
8086,2,,,1,4,3
8087,3,,,2,4,2
8089,1,0,0,3,4,1
8090,2,0,0,1,4,1
8093,2,,,1,4,2
8094,1,0,0,1,4,1
8095,1,0,0,1,4,1
8096,2,0,0,1,4,1
8097,1,0,0,1,4,1
